Bin_ID,Sample,Day,Treatment
27_bin.8,P410,21,AF
28_bin.1,P415,21,AB+AF
28_bin.10,P415,21,AB+AF
28_bin.13,P415,21,AB+AF
28_bin.14,P415,21,AB+AF
28_bin.15,P415,21,AB+AF
28_bin.19,P415,21,AB+AF
28_bin.24,P415,21,AB+AF
28_bin.25,P415,21,AB+AF
28_bin.26,P415,21,AB+AF
28_bin.28,P415,21,AB+AF
28_bin.3,P415,21,AB+AF
28_bin.30,P415,21,AB+AF
28_bin.33,P415,21,AB+AF
28_bin.37,P415,21,AB+AF
28_bin.38,P415,21,AB+AF
28_bin.39,P415,21,AB+AF
28_bin.40,P415,21,AB+AF
28_bin.41,P415,21,AB+AF
28_bin.42,P415,21,AB+AF
28_bin.43,P415,21,AB+AF
28_bin.44,P415,21,AB+AF
28_bin.46,P415,21,AB+AF
28_bin.47,P415,21,AB+AF
28_bin.8,P415,21,AB+AF
28_bin.9,P415,21,AB+AF
29_bin.10,P425,21,PC
29_bin.12,P425,21,PC
29_bin.13,P425,21,PC
29_bin.16,P425,21,PC
29_bin.17,P425,21,PC
29_bin.21,P425,21,PC
29_bin.22,P425,21,PC
29_bin.23,P425,21,PC
29_bin.25,P425,21,PC
29_bin.27,P425,21,PC
29_bin.29,P425,21,PC
29_bin.3,P425,21,PC
29_bin.30,P425,21,PC
29_bin.31,P425,21,PC
29_bin.33,P425,21,PC
29_bin.35,P425,21,PC
29_bin.36,P425,21,PC
29_bin.37,P425,21,PC
29_bin.38,P425,21,PC
29_bin.41,P425,21,PC
29_bin.45,P425,21,PC
29_bin.49,P425,21,PC
29_bin.5,P425,21,PC
29_bin.50,P425,21,PC
29_bin.53,P425,21,PC
29_bin.56,P425,21,PC
29_bin.57,P425,21,PC
29_bin.59,P425,21,PC
29_bin.6,P425,21,PC
29_bin.60,P425,21,PC
29_bin.65,P425,21,PC
29_bin.8,P425,21,PC
3_bin.1,205R3,9,AB
3_bin.12,205R3,9,AB
3_bin.13,205R3,9,AB
3_bin.16,205R3,9,AB
3_bin.17,205R3,9,AB
3_bin.18,205R3,9,AB
3_bin.23,205R3,9,AB
3_bin.24,205R3,9,AB
3_bin.26,205R3,9,AB
3_bin.31,205R3,9,AB
3_bin.32,205R3,9,AB
3_bin.33,205R3,9,AB
3_bin.34,205R3,9,AB
3_bin.5,205R3,9,AB
3_bin.8,205R3,9,AB
30_bin.2,P430,21,NC
31_bin.12,P505,27,AB
31_bin.15,P505,27,AB
31_bin.16,P505,27,AB
31_bin.17,P505,27,AB
31_bin.18,P505,27,AB
31_bin.19,P505,27,AB
31_bin.21,P505,27,AB
31_bin.23,P505,27,AB
31_bin.26,P505,27,AB
31_bin.27,P505,27,AB
31_bin.29,P505,27,AB
31_bin.3,P505,27,AB
31_bin.31,P505,27,AB
31_bin.33,P505,27,AB
31_bin.36,P505,27,AB
31_bin.37,P505,27,AB
31_bin.39,P505,27,AB
31_bin.4,P505,27,AB
31_bin.40,P505,27,AB
31_bin.43,P505,27,AB
31_bin.44,P505,27,AB
31_bin.46,P505,27,AB
31_bin.47,P505,27,AB
